mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.7846754014193912,0.8263139048348576,0.2585597619622264,nan,0.5792615423436204,0.5778656118933334,0.8551576306796668,0.9514980215150876,0.0017365450095873836,0.9300930620682825
0.3515610437409322,0.5756371132271094,0.17063944499310865,nan,0.3889292555747813,0.7527136884118658,0.9438872736576186,0.9847771547829937,0.0017184326932505624,0.9250873403013674
0.24011559594264748,0.4773733651203491,0.1371110533567668,nan,0.31189900907739826,0.8339038614306421,0.9655721725015409,0.990790595794654,0.04015209775846439,0.9252185415484077
0.19010684058688976,0.4252867021435929,0.1197543622977235,nan,0.27199225896304297,0.8722354187138464,0.974478053711931,0.9930617068747025,0.001731846744611749,0.9252296593979692
0.1632613531152875,0.3942474608422475,0.10990221096702527,nan,0.24986786032803282,0.8925992950506473,0.979269068455167,0.9942847789937246,0.0017249661559776404,0.9251466601906644
0.11832976240161168,0.33465782505681224,0.08664798764630942,0.03650382336225328,0.19705005441419654,0.9285588394938176,0.9850197424304189,0.9956999306780585,0.001768152987948984,0.9253570124376678
0.10969240565627071,0.321902686967586,0.08197922282116318,0.03458659780050785,0.18679960084065705,0.9349533127371545,0.9863766932856259,0.996071534402914,0.0017449964832441872,0.9253726720649601
0.10514187191004871,0.31512149143075474,0.07955477916195278,0.03355819900490709,0.18145408897980717,0.9385010601192332,0.9869855462242151,0.9961932083565513,0.0017470044021888635,0.9250724312436605
0.10094983375486595,0.3086331070616804,0.07774614678068235,0.032808208940506844,0.1770850374828711,0.9408485058396955,0.9875157515054271,0.9963705399710617,0.004658198629198414,0.9255141746540878
0.09816587806153834,0.3045805901019285,0.07592881415051828,0.03206309345604071,0.17325776614870053,0.9432351619165539,0.9879597789622347,0.9964587892773332,0.0018885655136980622,0.9252842212573105
