mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.7559951823156791,0.7836829070732406,0.419696107212566,nan,0.5741554212160889,0.4132024061270538,0.7014896045938582,0.8604621987486091,1.1274102779928707,0.239100614637776
0.2821400461534574,0.5250429985624729,0.278468403079479,nan,0.3855943075321263,0.5109141862955217,0.813973284535142,0.9416764879942964,1.1063519774588393,0.2604049602803243
0.22883505076809502,0.4725109895317979,0.25260652787184,nan,0.34610396820588174,0.554068387987276,0.8610748657852795,0.9623813015196968,1.1870546261128438,0.23771681355816102
0.19907755369536353,0.4405598136796555,0.23157700021379496,nan,0.3198191646342625,0.5941206916719035,0.8822447833073497,0.9700350515832206,1.0632019143247808,0.2664115920087299
0.16356346399998972,0.39829813226246175,0.20833143093043643,nan,0.28511202540008806,0.6561550310241306,0.9136106821600459,0.9773450034882377,1.0930769111977114,0.2784300235208012
0.1288442264938559,0.35518687680963634,0.1813806809069261,0.0755353632403034,0.24861932432702682,0.7219039938480557,0.938391370783548,0.9845437318470345,1.133051785276683,0.24751568249878453
0.1286220792217316,0.35349410952914606,0.18017500412566467,0.07494266104160972,0.2471549488572092,0.7268308846735647,0.9385663580485168,0.9844465910109328,1.1203693991566932,0.2668969017241646
0.11745597333867151,0.3390536534332898,0.1723501101583882,0.07181834339328078,0.23577663565909915,0.7440461578287281,0.9456737926589572,0.9868966578925628,1.1012591210557667,0.2666114209547575
0.1128337967293457,0.3329970088032504,0.16649603045549516,0.06990814327298316,0.2308738621263545,0.7557041117050105,0.9509127181487022,0.9880784255752236,1.1017933391194488,0.27898146768496274
0.11556568889530944,0.33626867623493545,0.16844675222435734,0.07038720540478506,0.2320070467281751,0.7535513948984924,0.9486300100584398,0.9874015181872978,1.075006590176038,0.23206831702858594
