mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.0540719128729448,0.7725618402693423,0.44030560524934353,nan,0.561090546923134,0.5265203619207947,0.7820847608500796,0.8896653611772561,0.04585230422122284,0.05501825021571868
0.11121385806747772,0.3268962774979935,0.17698459756988313,nan,0.23878038015232578,0.7324002227558087,0.9469904879132054,0.9848208585522206,0.0454022245857337,0.050601966391305556
0.08308042353698623,0.2810369438663619,0.1437469346968401,nan,0.19748363514059092,0.8170486968474326,0.9663552495543025,0.989416092506294,0.04374440770292487,0.05125001305674279
0.07993864536029587,0.27297817159706933,0.14658740667442396,nan,0.20034248836562357,0.8001428881428272,0.9706324573238521,0.991396906907978,0.042422760607346954,0.05316087002406304
0.08701033225131137,0.28322123798235666,0.15352507985712632,nan,0.20963227117649988,0.7873869098946772,0.9665812603905477,0.9899926941282248,0.04565284630771359,0.050906967400481264
0.054928812985768134,0.2285348252175306,0.11028009972858838,nan,0.15610758034200628,0.8942950735276349,0.9830256926655258,0.9959214648975323,0.04590046068117854,0.05095455104189369
0.05647029142523016,0.23170868376490536,0.11191194062580878,nan,0.15839244691343266,0.891641978184041,0.9839053222549832,0.9962322577386455,0.040327791287663665,0.0548214908321528
0.05564115717047786,0.22871698010959796,0.10949523782781265,nan,0.1550400210680368,0.8919159084942208,0.9835616396220457,0.9962674683255699,0.04427500241815788,0.051363206626008
0.055479132160224626,0.22843664903921068,0.11151530629447601,nan,0.15793034085132535,0.8901725874438307,0.9840648630657933,0.9964156039283,0.04305482790705472,0.051885692039784444
0.04967963346979649,0.21679210360976084,0.10255932421643335,nan,0.145913613507676,0.9067415527008122,0.9852052441994008,0.9966678641384763,0.04646561156015028,0.05093756295069093
0.04855465897930538,0.2161267252056226,0.09988147081735307,nan,0.1420581367906071,0.9160182544090205,0.9860498292763346,0.9967481677112662,0.04163805773329837,0.051960976236367945
0.047972652619872484,0.21427378393139018,0.1000616480224634,nan,0.1421589925565433,0.9152177860296847,0.9863709227721579,0.9970361473222659,0.04869073286588611,0.04891306852578094
0.04918850503638067,0.21776924970365807,0.10427490979305153,nan,0.1472616610608899,0.9119077156030058,0.9859870842598026,0.9969822626257148,0.046081969666378696,0.05106315551397626
0.05081225765365388,0.2197119271426311,0.10242891548273389,nan,0.14640510120616962,0.9106262158426605,0.9863963394717598,0.9972078448713082,0.04663247448180367,0.049333117652860324
0.04668048649322833,0.21135988049947646,0.09861863142303132,nan,0.13944361756032117,0.9179459148722146,0.9862246675552728,0.9971954479237994,0.04886818239105618,0.04872138367190382
0.05068917495114609,0.21901368053406256,0.10305474264938944,nan,0.14724975737379345,0.9078601394088484,0.9858193026080152,0.9968741074140491,0.04820128571833664,0.049521145800152565
0.050782495711494416,0.2195153388390755,0.10620424584385663,nan,0.15017032950732842,0.9036274366624365,0.98614321583842,0.9971720600332825,0.04441149326864742,0.05163999483820707
0.04928146701769767,0.21757086244436435,0.10368868112564086,nan,0.1472787324323163,0.9139515381002631,0.9865150247009016,0.9970818980057352,0.04082531355992919,0.05263676929883179
0.052098455874832916,0.22213568286964802,0.10441917560898695,nan,0.14989218131155416,0.9116065958027164,0.9860502952158195,0.9971265454149042,0.050417081890188065,0.04869752789771608
0.05126653143520519,0.2186603542397594,0.10221719372170165,nan,0.1467991652023127,0.9074777599568019,0.9850867822958165,0.997017567352164,0.044768619332702375,0.050502140839212444
