mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.1625029087834091,0.8401806035715345,0.42230500645391933,nan,0.5850432609028059,0.46233617456174203,0.7576240069364785,0.8975060137044718,0.013020439720972414,0.17034140451783275
0.261375464044927,0.504162284680218,0.25184860631120054,nan,0.3511620144219869,0.5582351667686594,0.8555034951590673,0.9615589592078213,0.01248922327557347,0.15869258053824625
0.2745935176063505,0.5129838462351867,0.23225079657182163,nan,0.3278235203206795,0.6169592132384173,0.888998293620834,0.967556545099987,0.012896739362135465,0.15255311261942459
0.22937866595170017,0.4631834623052078,0.20575510658675508,nan,0.2915878608503055,0.6711262805779092,0.9193260143243193,0.9779034306051393,0.012497360409585191,0.16892755062283366
0.17879849091619893,0.41194957889422595,0.17811310103267047,nan,0.2526587211778747,0.7381275043467084,0.9429104108667169,0.9835213549147348,0.011639612427085255,0.16788895488296968
0.11471031950267088,0.33358255954910493,0.15903452114230063,nan,0.22212562008477077,0.7822418769541728,0.9552510045117063,0.9878316500667851,0.013449859005187203,0.16793247742714287
0.10142243346559132,0.3139597731011597,0.14923651719809602,nan,0.211460801613689,0.799985955457319,0.9619055710637007,0.991162089370351,0.012307280839256975,0.16693528977586475
0.10006992703087851,0.3105504019855582,0.14747072662918354,nan,0.2082006677537517,0.8036760368572284,0.9624932472797935,0.990586393943672,0.013744903941011225,0.16775060907453937
0.09581556986585707,0.30549280279522467,0.14640726608268181,nan,0.2051674945415857,0.8069162657332523,0.9653613541770902,0.9915433972178611,0.012961799187721612,0.16784610154802707
0.10238213558309579,0.3150108489789842,0.14897284555077042,nan,0.21006219279612595,0.80129656699594,0.9626830686315446,0.990555439742338,0.012210396942662578,0.16734261205779635
0.08988816360803122,0.29576998816117483,0.13820942271932513,nan,0.19566492548316333,0.8315838989270091,0.9676544691871676,0.9922424178778357,0.012100040247511965,0.16863656637494656
0.08969543703507968,0.2948942268334811,0.13732526156523708,nan,0.19474776103261202,0.8309165909566593,0.96775996940842,0.9916905321788378,0.012717766413872846,0.16817561157783215
0.08819521799875431,0.2932892418853381,0.1386903609329027,nan,0.19565538532488336,0.828415858029296,0.9698133549976758,0.9924165924731242,0.014044578494943774,0.16636230505587205
0.08709190853036013,0.29108958471605956,0.13757107818075515,nan,0.19401276763928293,0.8297460091983812,0.9696242177435257,0.9929370449336301,0.01248412234588754,0.16563034855756636
0.08739820498125747,0.29101690741078146,0.13713101598837857,nan,0.19346112139491053,0.8325875239822486,0.9695339754927312,0.9922609462246874,0.013032960277770211,0.16563145080861105
0.08691816190537464,0.2904718528088621,0.13532638987886036,nan,0.19173165352559396,0.8372987218169183,0.9693378438253771,0.9920123586327221,0.012255974593592305,0.16612448528600865
0.08428351582375719,0.287065018411521,0.13459102822219865,nan,0.18997053958059892,0.8377699558315359,0.9710311466532203,0.9924505346322776,0.011765018143878985,0.16813349805676375
0.08746321881789507,0.2916030163212542,0.13751764103706302,nan,0.19522751563352578,0.8291318364921046,0.9711270113359705,0.9936038404063605,0.011454388000422793,0.16689979712850547
0.0877229198621578,0.2917693842026777,0.13440729451921365,nan,0.19168799607794684,0.8355864034701826,0.9708149452066217,0.9925286805680893,0.011995884686580544,0.16825408546709708
0.08667537225929964,0.29047027765000616,0.13463956887629921,nan,0.19167634438035827,0.8347458739137444,0.9706087499217414,0.9930959559817171,0.011893112567361332,0.169062244022353
