mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
2.2625424077070835,1.0599463927828228,0.5317754742925259,nan,0.7104469932711687,0.44413153703120645,0.7356328171210228,0.8931769308102488,0.04171143908357416,0.056859588213744594
0.3362509777361743,0.5732283791442473,0.30522277275891774,nan,0.42739338120165815,0.44126311955022196,0.7635278819456632,0.9262993680561049,0.04706788042584202,0.052445435830963526
0.3386990366575544,0.572918476844681,0.29855348250385005,nan,0.4216436740922314,0.4658813951097333,0.7656420182260832,0.9232293908176504,0.04555984075488962,0.05064559310290946
0.3097481089600166,0.5478713048235898,0.28879968526537325,nan,0.4039310730833864,0.4822585359407597,0.7931644562487951,0.9335907822514808,0.045908278764061665,0.051457435174049736
0.267229247502503,0.5095174810872224,0.26588773824626283,nan,0.37129862144781284,0.530336169879324,0.8270027335109629,0.9492608065257256,0.05188517222588666,0.04795312513097673
0.23416575055265632,0.47544566113493814,0.24212730769947363,nan,0.3422485819701985,0.5667100842418589,0.8606938240354153,0.9623659019818122,0.04467228512907233,0.050767424792179223
0.2128524971878068,0.45467003700717434,0.23312988162296525,nan,0.3245242021881971,0.5978899348958879,0.8802774094205046,0.9674785550571818,0.049887830505043654,0.049675100555747365
0.20309300186040574,0.44275325357043527,0.22866859569058398,nan,0.31603946166488744,0.6114218116829835,0.8871295127745862,0.9683008001597654,0.04608325712670584,0.05172729267071245
0.191783954426966,0.4318502153540078,0.22198634724504446,nan,0.30568337530025597,0.6308494240429269,0.8937996016039869,0.9704134978961535,0.04449295097154609,0.05179802194685383
0.18222122072150268,0.42064429858125174,0.21492348732866443,nan,0.298679039202023,0.641177037908284,0.8999360008812769,0.9735011985885227,0.04214391974420507,0.052697411934193625
0.18116583972529793,0.42066367001065563,0.217555851562852,nan,0.29810865081431015,0.639528650633767,0.8996452431822027,0.9726717900308929,0.048870216828047465,0.04853090093882811
0.17863530171275652,0.41654615548496304,0.21025847997276567,nan,0.2935355176741473,0.6498400772589983,0.9061437965462648,0.9747669836993893,0.046997212954345176,0.05083988337046087
0.17595356920885938,0.4138156661100533,0.2102089095013336,nan,0.29001509181419666,0.6541761847524684,0.9058003277737695,0.9736362258763784,0.04898558195056833,0.050582349351547304
0.1776336437387016,0.41605865032676315,0.21334351127239767,nan,0.29364632756924935,0.6494082292773693,0.9040310716936005,0.9736001206569918,0.04527618117598505,0.052680496084843584
0.1804377157416978,0.4190185560122993,0.21369547751840093,nan,0.29444607961842945,0.6493225480353884,0.9027291247261441,0.9737824516746619,0.048604890512294524,0.04897225547757783
0.17991092593884775,0.41727245148188025,0.20636277649024015,nan,0.2900737599753515,0.6577118264247419,0.9065592640459281,0.9741653862940907,0.04978970171555941,0.05045144588650552
0.1735366726254189,0.4116934357215231,0.20718938744119308,nan,0.28777286102075944,0.6582249851185876,0.9069145090590219,0.9751085408767406,0.04799767113550538,0.04969142312144005
0.18061153587481493,0.4180263085251426,0.21034403759266684,nan,0.2948724066494872,0.6465391038313444,0.9032722747888687,0.9742340587239409,0.04804855047889022,0.05001644658428405
0.17871059554073432,0.4173433264874352,0.20878481832952459,nan,0.289665537612121,0.6591042276104121,0.9054403777286218,0.97318233312967,0.04706386394255151,0.05103763449345535
0.17395137276004824,0.4115285807615187,0.2062803982025564,nan,0.2874152984741931,0.6610826591565374,0.9086084073193595,0.9740730368528243,0.045183673334735656,0.0509111332791046
